,IGHA,IGHD,IGHE,IGHG,IGHM
DRR056252,,,24.0,50060.0,
DRR056253,1.0,1.0,20.0,56446.0,2.0
DRR056254,,,22.0,79921.0,
ERR1760498,,1.0,,13.0,51976.0
ERR1812282,19196.0,,461.0,26888.0,57451.0
ERR1812283,24306.0,,633.0,30119.0,97129.0
ERR1812284,47360.0,,1022.0,71490.0,74835.0
ERR1812285,49794.0,,1107.0,72045.0,109592.0
ERR1812286,18316.0,,303.0,18274.0,39208.0
ERR1812287,22790.0,,444.0,22984.0,54223.0
ERR1812288,7427.0,,279.0,7938.0,134669.0
ERR1812289,6560.0,1.0,205.0,5157.0,141290.0
ERR1812290,13434.0,,68.0,8518.0,88104.0
ERR1812291,13279.0,,109.0,9312.0,126313.0
ERR1812292,16409.0,,65.0,13413.0,153398.0
ERR1812293,17443.0,,139.0,12870.0,124197.0
ERR1812294,17219.0,,582.0,25999.0,56465.0
ERR1812295,17723.0,,497.0,25953.0,57882.0
ERR1812296,38674.0,,2777.0,45534.0,62775.0
ERR1812297,44577.0,1.0,2806.0,46047.0,126856.0
ERR1812298,57398.0,1.0,359.0,43927.0,112459.0
ERR1812299,46697.0,1.0,283.0,47910.0,103317.0
ERR1812300,12130.0,1.0,142.0,10723.0,88390.0
ERR1812301,12008.0,,155.0,24974.0,107177.0
ERR1812302,12579.0,,60.0,5397.0,34659.0
ERR1812303,7484.0,,166.0,6083.0,32234.0
ERR1812304,7501.0,,29.0,5217.0,87619.0
ERR1812305,5910.0,,42.0,3944.0,64736.0
ERR2567178,14.0,14438.0,1.0,23.0,40377.0
ERR2567179,77.0,15535.0,,50.0,64584.0
ERR2567180,185.0,8996.0,,37.0,35243.0
ERR2567181,476.0,19362.0,,93.0,85468.0
ERR2567182,34.0,20208.0,,12.0,52947.0
ERR2567183,9.0,15811.0,,25.0,56936.0
ERR2567184,10.0,16984.0,,4.0,54292.0
ERR2567185,3.0,16284.0,,2.0,48853.0
ERR2567186,40.0,14447.0,,9.0,51114.0
ERR2567187,139.0,11869.0,3.0,64.0,43819.0
ERR2567188,30.0,12418.0,,19.0,33250.0
ERR2567189,43.0,13880.0,,36.0,58075.0
ERR2567190,,7519.0,,3.0,37792.0
ERR2567191,3.0,2059.0,,,7672.0
ERR2567192,14.0,3777.0,,7.0,7310.0
ERR2567193,14.0,5348.0,,11.0,17285.0
ERR2567194,18.0,2223.0,,21.0,7045.0
ERR2567195,28.0,3479.0,,16.0,13426.0
ERR2567196,56.0,7370.0,,19.0,37113.0
ERR2567197,65.0,4516.0,,70.0,24505.0
ERR2567198,17.0,1242.0,,3.0,2965.0
ERR2567199,40.0,16591.0,,18.0,42880.0
ERR2567200,79.0,17535.0,,8.0,50235.0
ERR2567201,8.0,12922.0,,12.0,29209.0
