Gene	Usage	Sample
IGHD7-27	3.179	DRR056252
IGHD6-6	1.9759	DRR056252
IGHD6-19	4.123	DRR056252
IGHD6-13	5.8003	DRR056252
IGHD5-24	2.4347	DRR056252
IGHD5-18	2.4984	DRR056252
IGHD5-12	2.4325	DRR056252
IGHD4-23	1.4995	DRR056252
IGHD4-17	2.4699	DRR056252
IGHD4-11	1.9561	DRR056252
IGHD3-9	3.157	DRR056252
IGHD3-3	6.4436	DRR056252
IGHD3-22	5.9233	DRR056252
IGHD3-16	5.7279	DRR056252
IGHD3-10	12.3998	DRR056252
IGHD2-8	1.7322	DRR056252
IGHD2-2	7.2427	DRR056252
IGHD2-21	4.3162	DRR056252
IGHD2-15	4.1362	DRR056252
IGHD1-26	5.6554	DRR056252
IGHD1-1	2.224	DRR056252
IGHD1-14	1.3919	DRR056252
IGHD6-25	0.8584	DRR056252
IGHD3/OR15-3a	1.5895	DRR056252
IGHD2/OR15-2a	2.7641	DRR056252
IGHD1-7	1.1658	DRR056252
IGHD5/OR15-5a	1.0165	DRR056252
IGHD4/OR15-4a	1.7761	DRR056252
IGHD1/OR15-1a	0.8584	DRR056252
IGHD1-20	1.0209	DRR056252
IGHD2/OR15-2b	0.1449	DRR056252
IGHD4-4	0.0198	DRR056252
IGHD1/OR15-1b	0.022	DRR056252
IGHD3/OR15-3b	0.0439	DRR056252
IGHD7-27	2.6994	DRR056253
IGHD6-6	2.2333	DRR056253
IGHD6-19	6.121	DRR056253
IGHD6-13	7.3208	DRR056253
IGHD5-24	1.941	DRR056253
IGHD5-18	2.1244	DRR056253
IGHD5-12	2.5810000000000004	DRR056253
IGHD4-23	2.6288	DRR056253
IGHD4-17	2.4224	DRR056253
IGHD4-11	1.8417	DRR056253
IGHD3-9	2.2543	DRR056253
IGHD3-3	6.3885	DRR056253
IGHD3-22	6.8967	DRR056253
IGHD3-16	3.6986	DRR056253
IGHD3-10	13.6635	DRR056253
IGHD2-8	2.2257	DRR056253
IGHD2-2	7.7621	DRR056253
IGHD2-21	4.4418	DRR056253
IGHD2-15	3.9871	DRR056253
IGHD1-26	4.8697	DRR056253
IGHD1-1	2.3919	DRR056253
IGHD1-14	1.3736	DRR056253
IGHD6-25	0.6725	DRR056253
IGHD3/OR15-3a	1.8015	DRR056253
IGHD2/OR15-2a	1.2972	DRR056253
IGHD1-7	1.2819	DRR056253
IGHD5/OR15-5a	0.4948	DRR056253
IGHD4/OR15-4a	0.8998	DRR056253
IGHD1/OR15-1a	0.3668	DRR056253
IGHD1-20	0.8979	DRR056253
IGHD2/OR15-2b	0.0936	DRR056253
IGHD4-4	0.1318	DRR056253
IGHD1/OR15-1b	0.0306	DRR056253
IGHD3/OR15-3b	0.1643	DRR056253
IGHD7-27	1.9865	DRR056254
IGHD6-6	1.548	DRR056254
IGHD6-19	6.7570000000000014	DRR056254
IGHD6-13	4.8141	DRR056254
IGHD5-24	2.1332	DRR056254
IGHD5-18	2.6778	DRR056254
IGHD5-12	3.0711	DRR056254
IGHD4-23	2.1176	DRR056254
IGHD4-17	2.1613	DRR056254
IGHD4-11	1.2125	DRR056254
IGHD3-9	2.6076	DRR056254
IGHD3-3	5.4742	DRR056254
IGHD3-22	6.874	DRR056254
IGHD3-16	5.4789	DRR056254
IGHD3-10	14.0664	DRR056254
IGHD2-8	2.4484	DRR056254
IGHD2-2	5.9283	DRR056254
IGHD2-21	5.4103	DRR056254
IGHD2-15	6.32	DRR056254
IGHD1-26	4.8235	DRR056254
IGHD1-1	2.4235	DRR056254
IGHD1-14	1.2078	DRR056254
IGHD6-25	0.9145	DRR056254
IGHD3/OR15-3a	1.1563	DRR056254
IGHD2/OR15-2a	1.7587	DRR056254
IGHD1-7	1.0034	DRR056254
IGHD5/OR15-5a	0.6695	DRR056254
IGHD4/OR15-4a	1.431	DRR056254
IGHD1/OR15-1a	0.6617	DRR056254
IGHD1-20	0.7334	DRR056254
IGHD2/OR15-2b	0.0687	DRR056254
IGHD4-4	0.0078	DRR056254
IGHD1/OR15-1b	0.0265	DRR056254
IGHD3/OR15-3b	0.0265	DRR056254
IGHD7-27	1.2321	ERR1760498
